,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,CONSUMER,INTSTR,TYPE,Reintro
71,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
139,5.8,4.7,5.8,4.1,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
198,8.73,7.86,7.69,5.74,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
204,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
254,65.67,115,12.9,7,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
546,230,12.62,2,0.62,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
650,230,20.58,2.9,0.98,Alouatta guariba,1,Alouatta guariba,Reintro_A
720,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
753,200,10,2,0.61,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
919,28.79,21.42,17,11,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
924,30.69,21.17,21.6,12.49,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
941,31,23,18.3,11.53,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
971,4,3.4,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
980,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
999,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1016,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1024,9,10,7.5,5.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1050,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1069,20,22,15,10,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1073,20,18,13,9,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1088,13,14,11.5,8,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1093,63.36,24,45.6,24.18,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1099,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1165,28.29,11,11.8,9.7,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
1183,23,27,17,9.3,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1207,20,17,16,14,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
1211,210,40,13,6,Alouatta guariba,0.75,Alouatta guariba,Reintro_A
1212,45,9,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1393,12.6,9,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1419,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1447,9.58,13.05,7.1,4.45,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1480,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1486,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1526,16,11,13,8.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1539,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1568,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1594,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1626,NA,NA,9.29,6.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1651,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1675,12,11,10,9.5,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1690,22,15,12,7,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1714,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1730,36.1,26.7,10,8.3,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1754,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1775,35,34.6,8.91,7.76,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1802,NA,29,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1823,NA,NA,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1845,32.2,22.3,NA,NA,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
1888,20.7,19.13,16.4,14.46,Alouatta guariba,0.5,Alouatta guariba,Reintro_A
