Familia,Esp,Fruit_color,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,Fonte
Acanthaceae,Beloperone microstachya,,,,,,
Acanthaceae,Beloperone plumbaginifolia,,,,,,
Acanthaceae,Chamaeranthemum gaudichaudii,,,,,,
Acanthaceae,Cyrtanthera calcarata,,,,,,
Acanthaceae,Geissomeria cincinnata,,,,,,
Acanthaceae,Geissomeria juliana,,,,,,
Acanthaceae,Geissomeria longifolia,,,,,,
Acanthaceae,Geissomeria pubescens,,,,,,
Acanthaceae,Mendoncia coccinea,,,,,,
Acanthaceae,Mendoncia velloziana,,17,14,14,7,"Bufalo et al., 2016"
Anacardiaceae,Mangifera indica,yellow,127.14,78.57,80,50,"Bello et al., 2017"
Anacardiaceae,Schinus terebinthifolius,red,6,6,3.5,3.5,"Bello et al., 2017"
Anacardiaceae,Tapirira guianensis,black,16,11.6,6.9,8.15,"Bello et al., 2017"
Annonaceae,Annona cacans,green,65.67,115,12.9,7,"Bello et al., 2017"
Annonaceae,Duguetia salicifolia,,29.6,15.3,,,Bello et al. 2015
Annonaceae,Guatteria latifolia,,9.4,5.3,,,Bello et al. 2015
Annonaceae,Guatteria pohliana,,8,5,6,5,Bello et al. 2015
Annonaceae,Guatteria psilopus,,,,,,
Annonaceae,Guatteria salicifolia,,,,,,
Annonaceae,Rollinia dolabripetala,,,,,,
Annonaceae,Rollinia parviflora,,,,,,
Annonaceae,Trigynaea sp,green,32.5,27.3,18.5,10,http://www.arvoresdobiomacerrado.com.br/site/2017/03/30/trigynaea-oblongifolia-schltdl/
Annonaceae,Xylopia brasiliensis,multicolor,26,4.5,5.8,4.1,"Bello et al., 2017"
Annonaceae,Xylopia langsdorfiana,multicolor,8,6,8.6,6.12,"Bello et al., 2017"
Apocynaceae,Geissospermum vellosii,,,,,,
Apocynaceae,Gonioanthela riedelii,,,,,,
Apocynaceae,Periploca sp,,,,,,
Aquifoliaceae,Ilex amara,,,,,,
Aquifoliaceae,Ilex paraguariensis,black,4.8,4.7,4.8,2.6,"Lorenzi, 1992"
Araceae,Anthurium augustinum,,,,,,
Araceae,Anthurium cultrifolium,,,,,,
Araceae,Anthurium harrisii,white,,,,,"Bello et al., 2017"
Araceae,Anthurium microphyllum,,,,,,
Araceae,Anthurium scandens,white,6,6,2,1,Galetti et al 2011
Araceae,Anthurium sucrii,,,,,,
Araceae,Asterostigma lividum,,,,,,
Araceae,Dieffenbachia sp,,,,,,
Araceae,Epipremnum pinnatum,,,,,,
Araceae,Monstera adansonii,white,11,8,8.5,7.25,Galetti et al 2011
Araceae,Philodendron curvilobum,,,,,,
Araceae,Philodendron guttiferum,,,,,,
Araceae,Philodendron ochrostemon,,,,,,
Araliaceae,Didymopanax angustissimus,,7,9,5.8,,"Galetti et al 2011/Alves-Costa & Eterovick, 2007"
Araliaceae,Didymopanax anomalus,,,,,,
Araliaceae,Didymopanax longipetiolatum,,,,,,
Araucariaceae,Araucaria angustifolia,,140,140,48,19,Guimarães et al. 2008
Arecaceae,Acrocomia intumescens,yellow,46,46,,,"Kissling et al., 2019"
Arecaceae,Arecastrum romanzoffianum,,,,,,
Arecaceae,Astrocaryum aculeatissimum,brown,6,45,44.8,27.9,"Bello et al., 2017"
Arecaceae,Attalea cf.phalerata,,100,77.5,50,25.6,Bello et al. 2015
Arecaceae,Attalea dubia,yellow,6,35,49.1,28.3,"Bello et al., 2017"
Arecaceae,Bactris sp,,18,14.25,14,7.2,"Bello et al., 2017"
Arecaceae,Caryota sp,,23,20,,,"Kissling et al., 2019"
Arecaceae,Chrysalidocarpus lutescens,,,,,,
Arecaceae,Desmoncus caespitosus,,,,,,
Arecaceae,Desmoncus inermis,,,,,,
Arecaceae,Euterpe edulis,black,12.8,12.46,11.7,10,"Bello et al., 2017"
Arecaceae,Geonoma elegans,black,10,10,,,"Bello et al., 2017"
Arecaceae,Geonoma pohliana,,9,9,7.5,7.5,"Peres, 2016"
Arecaceae,Geonoma schottiana,black,10,8,,,"Bello et al., 2017"
Arecaceae,Syagrus pseudococos,orange,60,42,15,15,"Bello et al., 2017"
Boraginaceae,Cordia corymbosa,red,4,3.4,,,"Bello et al., 2017"
Boraginaceae,Cordia excelsa,,,,,,
Boraginaceae,Cordia latiloba,,,,,,
Boraginaceae,Cordia leucomalla,,,,,,
Boraginaceae,Cordia magnoliifolia,red,9,10,7.5,5.5,"Lorenzi, 2009"
Boraginaceae,Cordia mucronata,,,,,,
Boraginaceae,Cordia superba,white,20,22,15,10,"Bello et al., 2017"
Boraginaceae,Cordia trichoclada,multicolor,20,18,13,9,"Lorenzi, 2009"
Boraginaceae,Tournefortia gardneri,,,,,,
Boraginaceae,Tournefortia membranaceae,,,,,,
Boraginaceae,Tournefortia villosa,,,,,,
Brachytheciaceae,Rhynchostegium Sellowii,,,,,,
Bromeliaceae,Acanthostachys strobilacea,,,,,,
Bromeliaceae,Aechmea candida,,,,,,
Bromeliaceae,Aechmea cariocae,,,,,,
Bromeliaceae,Aechmea coelestis,,,,,,
Bromeliaceae,Aechmea distichantha,,,,,,
Bromeliaceae,Aechmea fasciata,,,,,,
